trajectory_index,source_cell_index,source_time,source_cell_type,predicted_label,max_prob,time_used,primary_domain,secondary_domain,prob__EryP,prob__HSC,prob__MasP,prob__MkP,prob__MoP,prob__NeuP,target_group,target_genes,z_score,time_requested,cell_type_requested,cell_type_used,label_rule,selection_source
5091,5091,0.0,EryP,MkP,0.9999805658454272,3.0,1,2,3.7913534844378462e-06,1.515432867630648e-05,5.954145444667407e-12,0.9999805658454272,4.84822830826294e-07,3.6436267953603435e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
3037,3037,0.0,EryP,MkP,0.9999805432399316,3.0,1,2,1.4442264564632028e-05,2.4498027722914e-06,3.700749194948118e-10,0.9999805432399316,2.5612622992917767e-06,3.0603573388399583e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
4363,4363,0.0,EryP,MkP,0.9999798495288412,3.0,1,2,4.744009488990208e-06,1.481532178802574e-05,4.2851501530313854e-10,0.9999798495288412,5.890205926055191e-07,1.6907740703812822e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
6565,6565,0.0,EryP,MkP,0.9999797396044102,3.0,1,2,1.1880088415877818e-05,8.323444369014678e-06,1.69493698543902e-11,0.9999797396044102,5.272972389278552e-08,4.116131693216789e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
856,856,0.0,EryP,MkP,0.9999795453981162,3.0,1,2,9.057427401683498e-06,1.0480182082855197e-05,1.4983793728082277e-11,0.9999795453981162,9.117348271943498e-07,5.242588423036197e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
6119,6119,0.0,EryP,MkP,0.999979312615612,3.0,1,2,4.681355804368973e-06,1.592614924844254e-05,2.5485927315711445e-10,0.999979312615612,7.942292347058635e-08,2.0155263406355503e-10,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
2119,2119,0.0,MkP,MkP,0.9999792739182476,3.0,1,2,1.7727976394738787e-06,1.8940470023454024e-05,1.7888826760308598e-11,0.9999792739182476,8.82337961264385e-09,3.972820910757182e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
3118,3118,0.0,MkP,MkP,0.999979164427974,3.0,1,2,1.4141399401988384e-06,1.939350682110302e-05,7.56724874140905e-11,0.999979164427974,2.057912441520639e-08,7.270467652213743e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
951,951,0.0,EryP,MkP,0.9999786571155196,3.0,1,2,8.303448598834796e-06,1.282810582531724e-05,7.579675128367562e-12,0.9999786571155196,2.0519185184916826e-07,6.130624737892357e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
532,532,0.0,EryP,MkP,0.9999786143966072,3.0,1,2,9.124465495068826e-06,1.1938469315290608e-05,1.5007258904608872e-11,0.9999786143966072,3.21253038710931e-07,1.4005363378991743e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
